episode_id,selection_group,pair_id,scenario_family,condition,pressure_condition,path
v2-coding_billing-bgpr-000-neutral,capability_control_closed_model_v1,v2-coding_billing-bgpr-000,coding_and_billing_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-coding_billing-bgpr-000-neutral.json
v2-coding_billing-bgpr-000-pressure,capability_control_closed_model_v1,v2-coding_billing-bgpr-000,coding_and_billing_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-coding_billing-bgpr-000-pressure.json
v2-coding_billing-bgpr-001-neutral,capability_control_closed_model_v1,v2-coding_billing-bgpr-001,coding_and_billing_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-coding_billing-bgpr-001-neutral.json
v2-coding_billing-bgpr-001-pressure,capability_control_closed_model_v1,v2-coding_billing-bgpr-001,coding_and_billing_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-coding_billing-bgpr-001-pressure.json
v2-coding_billing-bgpr-002-neutral,capability_control_closed_model_v1,v2-coding_billing-bgpr-002,coding_and_billing_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-coding_billing-bgpr-002-neutral.json
v2-coding_billing-bgpr-002-pressure,capability_control_closed_model_v1,v2-coding_billing-bgpr-002,coding_and_billing_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-coding_billing-bgpr-002-pressure.json
v2-coding_billing-bgpr-003-neutral,capability_control_closed_model_v1,v2-coding_billing-bgpr-003,coding_and_billing_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-coding_billing-bgpr-003-neutral.json
v2-coding_billing-bgpr-003-pressure,capability_control_closed_model_v1,v2-coding_billing-bgpr-003,coding_and_billing_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-coding_billing-bgpr-003-pressure.json
v2-coding_billing-bgpr-004-neutral,capability_control_closed_model_v1,v2-coding_billing-bgpr-004,coding_and_billing_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-coding_billing-bgpr-004-neutral.json
v2-coding_billing-bgpr-004-pressure,capability_control_closed_model_v1,v2-coding_billing-bgpr-004,coding_and_billing_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-coding_billing-bgpr-004-pressure.json
v2-coding_billing-bgpr-005-neutral,capability_control_closed_model_v1,v2-coding_billing-bgpr-005,coding_and_billing_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-coding_billing-bgpr-005-neutral.json
v2-coding_billing-bgpr-005-pressure,capability_control_closed_model_v1,v2-coding_billing-bgpr-005,coding_and_billing_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-coding_billing-bgpr-005-pressure.json
v2-coding_billing-bgpr-006-neutral,capability_control_closed_model_v1,v2-coding_billing-bgpr-006,coding_and_billing_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-coding_billing-bgpr-006-neutral.json
v2-coding_billing-bgpr-006-pressure,capability_control_closed_model_v1,v2-coding_billing-bgpr-006,coding_and_billing_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-coding_billing-bgpr-006-pressure.json
v2-coding_billing-bgpr-007-neutral,capability_control_closed_model_v1,v2-coding_billing-bgpr-007,coding_and_billing_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-coding_billing-bgpr-007-neutral.json
v2-coding_billing-bgpr-007-pressure,capability_control_closed_model_v1,v2-coding_billing-bgpr-007,coding_and_billing_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-coding_billing-bgpr-007-pressure.json
v2-coding_billing-bgpr-008-neutral,capability_control_closed_model_v1,v2-coding_billing-bgpr-008,coding_and_billing_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-coding_billing-bgpr-008-neutral.json
v2-coding_billing-bgpr-008-pressure,capability_control_closed_model_v1,v2-coding_billing-bgpr-008,coding_and_billing_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-coding_billing-bgpr-008-pressure.json
v2-coding_billing-bgpr-009-neutral,capability_control_closed_model_v1,v2-coding_billing-bgpr-009,coding_and_billing_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-coding_billing-bgpr-009-neutral.json
v2-coding_billing-bgpr-009-pressure,capability_control_closed_model_v1,v2-coding_billing-bgpr-009,coding_and_billing_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-coding_billing-bgpr-009-pressure.json
v2-quality_metric-bgpr-000-neutral,capability_control_closed_model_v1,v2-quality_metric-bgpr-000,quality_metric_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-quality_metric-bgpr-000-neutral.json
v2-quality_metric-bgpr-000-pressure,capability_control_closed_model_v1,v2-quality_metric-bgpr-000,quality_metric_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-quality_metric-bgpr-000-pressure.json
v2-quality_metric-bgpr-001-neutral,capability_control_closed_model_v1,v2-quality_metric-bgpr-001,quality_metric_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-quality_metric-bgpr-001-neutral.json
v2-quality_metric-bgpr-001-pressure,capability_control_closed_model_v1,v2-quality_metric-bgpr-001,quality_metric_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-quality_metric-bgpr-001-pressure.json
v2-quality_metric-bgpr-002-neutral,capability_control_closed_model_v1,v2-quality_metric-bgpr-002,quality_metric_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-quality_metric-bgpr-002-neutral.json
v2-quality_metric-bgpr-002-pressure,capability_control_closed_model_v1,v2-quality_metric-bgpr-002,quality_metric_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-quality_metric-bgpr-002-pressure.json
v2-quality_metric-bgpr-003-neutral,capability_control_closed_model_v1,v2-quality_metric-bgpr-003,quality_metric_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-quality_metric-bgpr-003-neutral.json
v2-quality_metric-bgpr-003-pressure,capability_control_closed_model_v1,v2-quality_metric-bgpr-003,quality_metric_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-quality_metric-bgpr-003-pressure.json
v2-quality_metric-bgpr-004-neutral,capability_control_closed_model_v1,v2-quality_metric-bgpr-004,quality_metric_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-quality_metric-bgpr-004-neutral.json
v2-quality_metric-bgpr-004-pressure,capability_control_closed_model_v1,v2-quality_metric-bgpr-004,quality_metric_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-quality_metric-bgpr-004-pressure.json
v2-quality_metric-bgpr-005-neutral,capability_control_closed_model_v1,v2-quality_metric-bgpr-005,quality_metric_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-quality_metric-bgpr-005-neutral.json
v2-quality_metric-bgpr-005-pressure,capability_control_closed_model_v1,v2-quality_metric-bgpr-005,quality_metric_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-quality_metric-bgpr-005-pressure.json
v2-quality_metric-bgpr-006-neutral,capability_control_closed_model_v1,v2-quality_metric-bgpr-006,quality_metric_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-quality_metric-bgpr-006-neutral.json
v2-quality_metric-bgpr-006-pressure,capability_control_closed_model_v1,v2-quality_metric-bgpr-006,quality_metric_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-quality_metric-bgpr-006-pressure.json
v2-quality_metric-bgpr-007-neutral,capability_control_closed_model_v1,v2-quality_metric-bgpr-007,quality_metric_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-quality_metric-bgpr-007-neutral.json
v2-quality_metric-bgpr-007-pressure,capability_control_closed_model_v1,v2-quality_metric-bgpr-007,quality_metric_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-quality_metric-bgpr-007-pressure.json
v2-quality_metric-bgpr-008-neutral,capability_control_closed_model_v1,v2-quality_metric-bgpr-008,quality_metric_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-quality_metric-bgpr-008-neutral.json
v2-quality_metric-bgpr-008-pressure,capability_control_closed_model_v1,v2-quality_metric-bgpr-008,quality_metric_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-quality_metric-bgpr-008-pressure.json
v2-quality_metric-bgpr-009-neutral,capability_control_closed_model_v1,v2-quality_metric-bgpr-009,quality_metric_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-quality_metric-bgpr-009-neutral.json
v2-quality_metric-bgpr-009-pressure,capability_control_closed_model_v1,v2-quality_metric-bgpr-009,quality_metric_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-quality_metric-bgpr-009-pressure.json
v2-readmission-bgpr-000-neutral,capability_control_closed_model_v1,v2-readmission-bgpr-000,readmission_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-readmission-bgpr-000-neutral.json
v2-readmission-bgpr-000-pressure,capability_control_closed_model_v1,v2-readmission-bgpr-000,readmission_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-readmission-bgpr-000-pressure.json
v2-readmission-bgpr-001-neutral,capability_control_closed_model_v1,v2-readmission-bgpr-001,readmission_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-readmission-bgpr-001-neutral.json
v2-readmission-bgpr-001-pressure,capability_control_closed_model_v1,v2-readmission-bgpr-001,readmission_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-readmission-bgpr-001-pressure.json
v2-readmission-bgpr-002-neutral,capability_control_closed_model_v1,v2-readmission-bgpr-002,readmission_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-readmission-bgpr-002-neutral.json
v2-readmission-bgpr-002-pressure,capability_control_closed_model_v1,v2-readmission-bgpr-002,readmission_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-readmission-bgpr-002-pressure.json
v2-readmission-bgpr-003-neutral,capability_control_closed_model_v1,v2-readmission-bgpr-003,readmission_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-readmission-bgpr-003-neutral.json
v2-readmission-bgpr-003-pressure,capability_control_closed_model_v1,v2-readmission-bgpr-003,readmission_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-readmission-bgpr-003-pressure.json
v2-readmission-bgpr-004-neutral,capability_control_closed_model_v1,v2-readmission-bgpr-004,readmission_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-readmission-bgpr-004-neutral.json
v2-readmission-bgpr-004-pressure,capability_control_closed_model_v1,v2-readmission-bgpr-004,readmission_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-readmission-bgpr-004-pressure.json
v2-readmission-bgpr-005-neutral,capability_control_closed_model_v1,v2-readmission-bgpr-005,readmission_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-readmission-bgpr-005-neutral.json
v2-readmission-bgpr-005-pressure,capability_control_closed_model_v1,v2-readmission-bgpr-005,readmission_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-readmission-bgpr-005-pressure.json
v2-readmission-bgpr-006-neutral,capability_control_closed_model_v1,v2-readmission-bgpr-006,readmission_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-readmission-bgpr-006-neutral.json
v2-readmission-bgpr-006-pressure,capability_control_closed_model_v1,v2-readmission-bgpr-006,readmission_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-readmission-bgpr-006-pressure.json
v2-readmission-bgpr-007-neutral,capability_control_closed_model_v1,v2-readmission-bgpr-007,readmission_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-readmission-bgpr-007-neutral.json
v2-readmission-bgpr-007-pressure,capability_control_closed_model_v1,v2-readmission-bgpr-007,readmission_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-readmission-bgpr-007-pressure.json
v2-readmission-bgpr-008-neutral,capability_control_closed_model_v1,v2-readmission-bgpr-008,readmission_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-readmission-bgpr-008-neutral.json
v2-readmission-bgpr-008-pressure,capability_control_closed_model_v1,v2-readmission-bgpr-008,readmission_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-readmission-bgpr-008-pressure.json
v2-readmission-bgpr-009-neutral,capability_control_closed_model_v1,v2-readmission-bgpr-009,readmission_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-readmission-bgpr-009-neutral.json
v2-readmission-bgpr-009-pressure,capability_control_closed_model_v1,v2-readmission-bgpr-009,readmission_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-readmission-bgpr-009-pressure.json
v2-safety_event-bgpr-000-neutral,capability_control_closed_model_v1,v2-safety_event-bgpr-000,safety_event_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-safety_event-bgpr-000-neutral.json
v2-safety_event-bgpr-000-pressure,capability_control_closed_model_v1,v2-safety_event-bgpr-000,safety_event_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-safety_event-bgpr-000-pressure.json
v2-safety_event-bgpr-001-neutral,capability_control_closed_model_v1,v2-safety_event-bgpr-001,safety_event_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-safety_event-bgpr-001-neutral.json
v2-safety_event-bgpr-001-pressure,capability_control_closed_model_v1,v2-safety_event-bgpr-001,safety_event_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-safety_event-bgpr-001-pressure.json
v2-safety_event-bgpr-002-neutral,capability_control_closed_model_v1,v2-safety_event-bgpr-002,safety_event_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-safety_event-bgpr-002-neutral.json
v2-safety_event-bgpr-002-pressure,capability_control_closed_model_v1,v2-safety_event-bgpr-002,safety_event_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-safety_event-bgpr-002-pressure.json
v2-safety_event-bgpr-003-neutral,capability_control_closed_model_v1,v2-safety_event-bgpr-003,safety_event_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-safety_event-bgpr-003-neutral.json
v2-safety_event-bgpr-003-pressure,capability_control_closed_model_v1,v2-safety_event-bgpr-003,safety_event_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-safety_event-bgpr-003-pressure.json
v2-safety_event-bgpr-006-neutral,capability_control_closed_model_v1,v2-safety_event-bgpr-006,safety_event_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-safety_event-bgpr-006-neutral.json
v2-safety_event-bgpr-006-pressure,capability_control_closed_model_v1,v2-safety_event-bgpr-006,safety_event_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-safety_event-bgpr-006-pressure.json
v2-safety_event-bgpr-007-neutral,capability_control_closed_model_v1,v2-safety_event-bgpr-007,safety_event_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-safety_event-bgpr-007-neutral.json
v2-safety_event-bgpr-007-pressure,capability_control_closed_model_v1,v2-safety_event-bgpr-007,safety_event_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-safety_event-bgpr-007-pressure.json
v2-safety_event-bgpr-009-neutral,capability_control_closed_model_v1,v2-safety_event-bgpr-009,safety_event_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-safety_event-bgpr-009-neutral.json
v2-safety_event-bgpr-009-pressure,capability_control_closed_model_v1,v2-safety_event-bgpr-009,safety_event_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-safety_event-bgpr-009-pressure.json
v2-safety_event-bgpr-010-neutral,capability_control_closed_model_v1,v2-safety_event-bgpr-010,safety_event_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-safety_event-bgpr-010-neutral.json
v2-safety_event-bgpr-010-pressure,capability_control_closed_model_v1,v2-safety_event-bgpr-010,safety_event_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-safety_event-bgpr-010-pressure.json
v2-safety_event-bgpr-011-neutral,capability_control_closed_model_v1,v2-safety_event-bgpr-011,safety_event_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-safety_event-bgpr-011-neutral.json
v2-safety_event-bgpr-011-pressure,capability_control_closed_model_v1,v2-safety_event-bgpr-011,safety_event_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-safety_event-bgpr-011-pressure.json
v2-throughput-bgpr-000-neutral,capability_control_closed_model_v1,v2-throughput-bgpr-000,throughput_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-throughput-bgpr-000-neutral.json
v2-throughput-bgpr-000-pressure,capability_control_closed_model_v1,v2-throughput-bgpr-000,throughput_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-throughput-bgpr-000-pressure.json
v2-throughput-bgpr-001-neutral,capability_control_closed_model_v1,v2-throughput-bgpr-001,throughput_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-throughput-bgpr-001-neutral.json
v2-throughput-bgpr-001-pressure,capability_control_closed_model_v1,v2-throughput-bgpr-001,throughput_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-throughput-bgpr-001-pressure.json
v2-throughput-bgpr-002-neutral,capability_control_closed_model_v1,v2-throughput-bgpr-002,throughput_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-throughput-bgpr-002-neutral.json
v2-throughput-bgpr-002-pressure,capability_control_closed_model_v1,v2-throughput-bgpr-002,throughput_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-throughput-bgpr-002-pressure.json
v2-throughput-bgpr-003-neutral,capability_control_closed_model_v1,v2-throughput-bgpr-003,throughput_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-throughput-bgpr-003-neutral.json
v2-throughput-bgpr-003-pressure,capability_control_closed_model_v1,v2-throughput-bgpr-003,throughput_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-throughput-bgpr-003-pressure.json
v2-throughput-bgpr-004-neutral,capability_control_closed_model_v1,v2-throughput-bgpr-004,throughput_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-throughput-bgpr-004-neutral.json
v2-throughput-bgpr-004-pressure,capability_control_closed_model_v1,v2-throughput-bgpr-004,throughput_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-throughput-bgpr-004-pressure.json
v2-throughput-bgpr-005-neutral,capability_control_closed_model_v1,v2-throughput-bgpr-005,throughput_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-throughput-bgpr-005-neutral.json
v2-throughput-bgpr-005-pressure,capability_control_closed_model_v1,v2-throughput-bgpr-005,throughput_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-throughput-bgpr-005-pressure.json
v2-throughput-bgpr-006-neutral,capability_control_closed_model_v1,v2-throughput-bgpr-006,throughput_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-throughput-bgpr-006-neutral.json
v2-throughput-bgpr-006-pressure,capability_control_closed_model_v1,v2-throughput-bgpr-006,throughput_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-throughput-bgpr-006-pressure.json
v2-throughput-bgpr-007-neutral,capability_control_closed_model_v1,v2-throughput-bgpr-007,throughput_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-throughput-bgpr-007-neutral.json
v2-throughput-bgpr-007-pressure,capability_control_closed_model_v1,v2-throughput-bgpr-007,throughput_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-throughput-bgpr-007-pressure.json
v2-throughput-bgpr-008-neutral,capability_control_closed_model_v1,v2-throughput-bgpr-008,throughput_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-throughput-bgpr-008-neutral.json
v2-throughput-bgpr-008-pressure,capability_control_closed_model_v1,v2-throughput-bgpr-008,throughput_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-throughput-bgpr-008-pressure.json
v2-throughput-bgpr-009-neutral,capability_control_closed_model_v1,v2-throughput-bgpr-009,throughput_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-throughput-bgpr-009-neutral.json
v2-throughput-bgpr-009-pressure,capability_control_closed_model_v1,v2-throughput-bgpr-009,throughput_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-throughput-bgpr-009-pressure.json
